pair_id,initial_delta_A,initial_delta_B,initial_p_breakdown,initial_V_A,initial_V_B,final_delta_A,final_delta_B,final_p_breakdown,final_V_A,final_V_B,final_V_A_star,final_V_B_star,final_score,final_balance_score,final_speed_score
0,0.8814989033068624,0.9080261477774972,0.1821905513766951,0.8736587319818913,0.5180656953996932,0.5100000000000000,0.9157886249903937,0.3455589507027857,0.5008599695229949,0.8328305047571443,0.5008599695229949,0.8328305047571443,0.9387854742698700,0.9982800609540101,0.7999647720068764
1,0.7206616510809851,0.7951660737365701,0.0475431958280920,0.2460569804868254,0.3536339215035808,0.5271049645230047,0.9102669831733329,0.3998666742291486,0.5246504723581845,0.8398860521220497,0.5485037469426336,0.8264900241362886,0.9136472321921523,0.9506990552836310,0.8271929783120353
2,0.9221270015574635,0.6275302786529836,0.2276693706955105,0.4889640742999828,0.0750558303880202,0.5246172586570373,0.9266542755170309,0.3490382173969084,0.4997285215677271,0.8293398185154968,0.4997285215677270,0.8293398185154968,0.9378193507769481,0.9994570431354541,0.7939980686071008
3,0.8447366539484946,0.8679240003169439,0.0625715312133461,0.0297172133564333,0.9909719860358988,0.5100000000000000,0.9501690748612599,0.3689529461887961,0.4961397389059846,0.8403253645372064,0.4961397389059846,0.8403253645372064,0.9367040002903859,0.9922794778119692,0.8070278860733584
4,0.5552051269860718,0.5505508299249946,0.0243833335591424,0.0088801932664488,0.1747737267250484,0.5125867181051375,0.9187469843030394,0.4000000000000000,0.5107493301713798,0.8378003347852730,0.5403637246724661,0.8338100390722435,0.9340896876031564,0.9785013396572404,0.8304624994769606
5,0.9782987287856428,0.8817205605354159,0.1994671333715444,0.7054532209394645,0.2553084749760438,0.5329757249482704,0.9534156777862961,0.3673022320317159,0.4980960933962293,0.8320357454257575,0.4980960933962293,0.8320357454257575,0.9363101224000531,0.9961921867924586,0.7965853054844405
6,0.8753470569553694,0.7931929066766465,0.2621493800186512,0.1182936224656007,0.2359157624946178,0.5133790998505058,0.9126000075225739,0.3455240770475232,0.5038354001707241,0.8307141974574841,0.5038354001707240,0.8307141974574841,0.9344261752256418,0.9923291996585517,0.7993191182155188
7,0.8873108665329378,0.5631601528302728,0.3416589225625573,0.5478082371108176,0.9079414066857031,0.5100000000000000,0.9296948673341812,0.3557380751074926,0.4992970106092623,0.8359441928944190,0.4992970106092623,0.8359441928944190,0.9399743946285037,0.9985940212185247,0.8031952659184551
8,0.5714945436842620,0.5481626702843377,0.3131342215817214,0.6960074822100200,0.7636883927235304,0.5100000000000000,0.9150686203505524,0.3422737099512694,0.4988475020537183,0.8326663904188070,0.4988475020537183,0.8326663904188071,0.9378195818568946,0.9976950041074366,0.7981102632722971
9,0.7261852501898722,0.8704014400495020,0.3428962051026193,0.0322345862296393,0.4573297994393366,0.5100000000000000,0.9395094418584288,0.3695620972607268,0.5036033751737726,0.8380797656149441,0.5036033751737726,0.8380797656149440,0.9378235663345978,0.9927932496524547,0.8095609719262653
10,0.6879830516316390,0.6506092351218419,0.3040275083283562,0.4487413991456820,0.9554230339518591,0.5109971815284884,0.9516701991492907,0.3786124646733789,0.5031146799029321,0.8402473645704591,0.5031146799029321,0.8402473645704591,0.9393079496705762,0.9937706401941357,0.8122283384489375
11,0.9548471946473288,0.9368648883682624,0.2812957587624558,0.6841519369858398,0.0527833807864417,0.5100000000000000,0.9268205872140985,0.3593716785876990,0.5040287427299888,0.8353235054266807,0.5040287427299888,0.8353235054266807,0.9361629244751166,0.9919425145400225,0.8060105476570031
12,0.8190552576387190,0.8757950500944846,0.0040550276562799,0.8897309878548501,0.8936703812216521,0.5100000000000000,0.9553041598821183,0.3802196116783160,0.5018400856335247,0.8413743719938402,0.5018400856335247,0.8413743719938401,0.9412791809354257,0.9963198287329507,0.8128510027412010
13,0.9049255743699984,0.8451313174645038,0.2504409247236842,0.2992301006016564,0.0604273356881592,0.5100000000000000,0.9094003769091222,0.3419456885309032,0.5024836441706446,0.8313626204705099,0.5024836441706446,0.8313626204705099,0.9362710964051132,0.9950327116587108,0.7991606608133857
14,0.7228388154371189,0.6437309052640564,0.0481927216556471,0.9742165296843303,0.3911306959345637,0.5100000000000000,0.9547461708365362,0.3867450379225350,0.5074161788717352,0.8413005003389462,0.5074161788717353,0.8413005003389462,0.9346807849621533,0.9851676422565296,0.8168781179419424
15,0.6190745864566929,0.8502933691303766,0.0234668529330164,0.8445414996596974,0.0540048783764897,0.5162774981263651,0.9273667533476651,0.3351026927265736,0.5128312095058588,0.8108087516737891,0.4863352688396309,0.8330549538576781,0.9185375646155753,0.9743375809882824,0.7883375264125925
16,0.7762006977676007,0.9651108885671204,0.0625648608422622,0.6506350720818543,0.9989689917576853,0.5195919592869233,0.9547995141840248,0.3780235437896441,0.4859814197177906,0.8382722717521390,0.5025958882106764,0.8375740937565902,0.9227976870241552,0.9719628394355810,0.8080789980641622
17,0.5406322829300042,0.5539487204978731,0.3293168645767001,0.3919255072461312,0.9143895025006017,0.5100000000000000,0.9388203584646446,0.3655565185338731,0.5009094229305974,0.8379226537265287,0.5009094229305975,0.8379226537265287,0.9409092413630483,0.9981811541388053,0.8072747782196155
18,0.9072629625564393,0.6665580681617117,0.2975397572400086,0.7111103761994986,0.5847989552462312,0.5331158756771794,0.9326281955697675,0.3061846605040004,0.5119052864975945,0.8283336504763882,0.4639772477044701,0.8283822525744663,0.9115301583397417,0.9761894270048110,0.7606585314545802
19,0.8131989115785911,0.6226426874215651,0.3795089620820850,0.8161932690703534,0.2178445739982455,0.5100000000000000,0.8850314382961978,0.3154320086371997,0.4998711319002044,0.8254801538803620,0.4998711319002044,0.8254801538803621,0.9363620338077566,0.9997422638004090,0.7884748304915679
20,0.8738821152409795,0.6987600645123200,0.3915905034601642,0.3032998748865573,0.2767777251974692,0.5100000000000000,0.8954564021123711,0.3262658237940084,0.5004397897923154,0.8280466713466230,0.5004397897923154,0.8280466713466231,0.9371953716787532,0.9991204204153692,0.7927035912933159
21,0.6801724647023368,0.8663196743298943,0.3573135945495929,0.9928300649070293,0.4495433660571203,0.5134829344732621,0.9166898464391681,0.3481487841305959,0.5030727209735820,0.8316142782297076,0.5030727209735820,0.8316142782297076,0.9356960630586694,0.9938545580528360,0.7999929080722807
22,0.9759350517095535,0.7376364390841855,0.0531704203907997,0.9086193697546390,0.3227801824923457,0.5100000000000000,0.9263608414388366,0.3601013202740815,0.5048959561530623,0.8352280495719371,0.5048959561530623,0.8352280495719371,0.9351101190036177,0.9902080876938755,0.8065481920596834
23,0.9386981382346549,0.7839506909377182,0.3513530963699922,0.4855014403429226,0.0213139054349407,0.5122992811485099,0.8982403287553404,0.3270469394510091,0.4996508021703668,0.8277437025453027,0.4996508021703668,0.8277437025453027,0.9369928322267027,0.9993016043407335,0.7916056972939646
24,0.8836240785954057,0.6607943462776044,0.3354548539154582,0.7228299157753952,0.6562560081171346,0.5279342535837341,0.9565467840472222,0.4000000000000000,0.4762622287445840,0.8387687940861465,0.5207415908226954,0.8350496061634085,0.9122277884973973,0.9525244574891680,0.8182022275165990
25,0.6034265797689444,0.5778188482018083,0.3484343439438790,0.5240088946187819,0.6134279040933013,0.5143858340262245,0.9021013250079520,0.3325159263162025,0.5015532366313232,0.8277945290048763,0.5015532366313232,0.8277945290048762,0.9358032367674762,0.9968935267373535,0.7932592268377626
26,0.7340260817889764,0.6381281514901097,0.0606742468465966,0.7609305521970262,0.9043107032188408,0.5446040100379128,0.9089184119849830,0.3633069872411012,0.5304456395684233,0.8597916370186871,0.5270588720805053,0.8172446720775892,0.8971773982954914,0.9391087208631534,0.7993376456376136
27,0.5310258075778698,0.9226465445961538,0.0467167311093270,0.8269822038779814,0.4768540401054504,0.5253584649661617,0.9196924928805199,0.3456300567253278,0.5020516774553350,0.8274052823497648,0.5020516774553351,0.8274052823497650,0.9350598566425885,0.9958966450893301,0.7931073502668584
28,0.5840589561924230,0.7991601418336370,0.3695235518336327,0.0232225551570425,0.3447089617983878,0.5100000000000000,0.9080675945835456,0.3378931137183655,0.5003432143527180,0.8310468492591166,0.5003432143527181,0.8310468492591166,0.9386126949240811,0.9993135712945640,0.7969773167262877
29,0.8378634975563782,0.6914345631346722,0.0695306596538018,0.0791320297006493,0.5115171829177669,0.5116268175337836,0.9562247497801266,0.3864266932440923,0.5065906928416323,0.8409707668942372,0.5065906928416323,0.8409707668942372,0.9355185558172903,0.9868186143167355,0.8158184193185851
30,0.8674858348357523,0.8891548712330820,0.1474486924170405,0.3364674158767270,0.1946949908958396,0.5285518625359910,0.9637660795562495,0.3790029121409043,0.4996589926312514,0.8359973448560519,0.4996589926312514,0.8359973448560519,0.9405894435617335,0.9993179852625027,0.8035561795932724
31,0.9744046715684208,0.5409395675783563,0.1823939397976241,0.9176136326323495,0.6255403518247864,0.5100000000000000,0.9158785057785376,0.3407084421188537,0.4970948683454570,0.8328574704152381,0.4970948683454570,0.8328574704152382,0.9350234148769268,0.9941897366909140,0.7969686639776234
32,0.6663961719063130,0.6318677222027451,0.0497770111318258,0.3982735831433897,0.7700328827901616,0.5100000000000000,0.9094170635130795,0.3377770152996947,0.4993233400631276,0.8313616697805638,0.4993233400631276,0.8313616697805638,0.9380339649338151,0.9986466801262552,0.7966042961514549
33,0.6878206588967370,0.6204495139475229,0.0082537152130190,0.8875122152019242,0.1534617133756921,0.5165301782246717,0.9447109518404062,0.3635222108293600,0.4969489797238322,0.8366230604447236,0.4969489797238322,0.8366230604447235,0.9364247868599901,0.9938979594476645,0.8023207174887499
34,0.7353867894123878,0.9829749898407466,0.3976361879068465,0.4624339126317529,0.3183832176353292,0.5161943011561202,0.9154521416024223,0.3407253910833171,0.4989443620446350,0.8302023501499520,0.4989443620446350,0.8302023501499520,0.9369047868902407,0.9978887240892700,0.7946089334258392
35,0.6009462523604572,0.8489273195485250,0.3506628979339845,0.2888529203115734,0.8678009793663987,0.5341080306637643,0.9403491037573395,0.3616973677886147,0.5026254578047183,0.8286436412702054,0.5026254578047183,0.8286436412702054,0.9349350495983820,0.9947490843905633,0.7953689684166259
36,0.5723623225610264,0.8065372494665060,0.3649351717402549,0.9006451830624952,0.5055317486338219,0.5158427749946071,0.9300112552841053,0.3527771735093113,0.4981932235871002,0.8336706103741132,0.4981932235871002,0.8336706103741132,0.9371820152101699,0.9963864471742003,0.7990383406274323
37,0.7383383645884481,0.5123927833413470,0.1138252277088474,0.5606707689186775,0.5318366466775467,0.5190884807100724,0.9105696374610710,0.3395181923078466,0.5021193843193837,0.8278491232234395,0.5021193843193837,0.8278491232234396,0.9351746260038963,0.9957612313612325,0.7938058801701120
38,0.6189164875444244,0.5984688010031315,0.0880406290981756,0.3604842950300413,0.7224081970533516,0.5254385102661624,0.9289230348796501,0.3525913501757920,0.5011265983282207,0.8295300429266076,0.5011265983282207,0.8295300429266076,0.9370494049061002,0.9977468033435586,0.7954221418853645
39,0.8315107174476050,0.8150598206270776,0.1703466232701707,0.0444070036278168,0.5778928152213265,0.5100000000000000,0.8841086957774511,0.3167420254781277,0.5014870422192093,0.8252510394350128,0.5014870422192093,0.8252510394350127,0.9347691359939085,0.9970259155615815,0.7895033170026717
40,0.7198329210587188,0.6922652767111995,0.1813277475912027,0.1109331324482239,0.0695797680738192,0.5127425801902007,0.9278399675686015,0.3586653002252588,0.5034600801017739,0.8344423842491608,0.5034600801017739,0.8344423842491608,0.9364524964457444,0.9930798397964522,0.8043220286274264
41,0.9096855341077620,0.9536545841659492,0.0022397755456963,0.1393103276415305,0.8039617118630358,0.5200966194767965,0.9270675317576443,0.3473976196654670,0.4934668749114186,0.8111377005302089,0.4970654407226802,0.8312878912909432,0.9292489082836329,0.9869337498228372,0.7946509446921566
42,0.8461272489610796,0.8770676251880438,0.3117012450239331,0.3648362904106063,0.9228360372484677,0.5351744351983326,0.9338091156058760,0.3522078357332524,0.4999267992749876,0.8266844745408402,0.4999267992749876,0.8266844745408403,0.9369836919382751,0.9998535985499752,0.7902872431776415
43,0.6599359878633797,0.7247443549459776,0.3986668152568069,0.6073329557443440,0.0532772329908122,0.5147459509949001,0.9420378600719234,0.3483645558617232,0.5152203205652885,0.8555679369174606,0.4862587183516984,0.8368958396474643,0.9169195105750824,0.9695593588694229,0.7940931978882877
44,0.9094847046696966,0.8697671892183698,0.2114763480408358,0.3075901144219298,0.1212497564575510,0.5252406211924249,0.9900000000000000,0.3319634570017557,0.4811525568099241,0.8570683480439368,0.4409749809496589,0.8452707300713785,0.9039965969802262,0.9623051136198482,0.7679433914877750
45,0.8962868915984649,0.9781940754365863,0.1553034780049805,0.0655276337648002,0.7019752022074804,0.5100000000000000,0.9155093781769083,0.3444382340515472,0.5001963073265961,0.8327661169785217,0.5001963073265963,0.8327661169785217,0.9395272531109546,0.9996073853468077,0.7993402778939643
46,0.6959896219344838,0.7312707958567058,0.1571007572884813,0.2648087373173338,0.6044739325145255,0.5100000000000000,0.8906553911674927,0.3228290629388887,0.5012896091341644,0.8268760352782460,0.5012896091341643,0.8268760352782460,0.9357063848403618,0.9974207817316711,0.7917061254273068
47,0.6483974898865171,0.8184124261864960,0.0384308528688403,0.4086816508996102,0.3825169989717458,0.5100000000000000,0.9539458412288037,0.3754509061799153,0.4988878230705998,0.8410942317135250,0.4988878230705998,0.8410942317135250,0.9415120174962338,0.9977756461411995,0.8102302173246476
48,0.8375978419079882,0.9509590152294216,0.1064647273456047,0.9922699286723291,0.5392486489403714,0.5100000000000000,0.8997010183245235,0.3333825239558087,0.5027567548012006,0.8290753161356302,0.5027567548012006,0.8290753161356301,0.9349699020972062,0.9944864903975987,0.7960978627296239
49,0.5770811921324687,0.6293638377773632,0.2008531154538525,0.3929869047509387,0.7033385680010588,0.5263973562910567,0.9214382268325071,0.3470438997819364,0.5021944742358773,0.8273885452172091,0.5021944742358774,0.8273885452172091,0.9348881135241645,0.9956110515282455,0.7932012581813089
50,0.6059559371880520,0.9355477985598136,0.1727392004538789,0.0891954187474440,0.5044764618809293,0.5100000000000000,0.9041201784984702,0.3403454627427708,0.5181933505115578,0.8293261816591312,0.5048986741063580,0.8301400623729968,0.9143356562159068,0.9636132989768844,0.7993544897736262
51,0.5135338894804826,0.5568214592510317,0.2180138982972441,0.5811148144739334,0.1401883246356492,0.5100000000000000,0.9245308991858917,0.3505156561785768,0.4987271627610788,0.8348031031335823,0.4987271627610789,0.8348031031335824,0.9385488252023024,0.9974543255221575,0.8011026577893074
52,0.8877237012010264,0.8212551218820703,0.3396262594549627,0.9196400726262897,0.0894360291332902,0.5100000000000000,0.9182392388521184,0.3501191316836550,0.5026756248903924,0.8333935714915329,0.5026756248903924,0.8333935714915329,0.9369186011088388,0.9946487502192152,0.8022149198512943
53,0.8291284111641755,0.8857623144267764,0.0900969210798448,0.7866956988617501,0.4388587351883817,0.5100000000000000,0.9152269832228020,0.3397064578598168,0.4967778448378231,0.8327102065593863,0.4967778448378230,0.8327102065593863,0.9344377628950098,0.9935556896756461,0.7964959337401919
54,0.8484793817406409,0.8050109852411645,0.0110656723625248,0.8362183091872366,0.9228847578488337,0.5100000000000000,0.9014456078096716,0.3284327109205267,0.4978426643325535,0.8294892272783034,0.4978426643325535,0.8294892272783033,0.9347769169176000,0.9956853286651071,0.7926572895067503
55,0.8847499348905445,0.7478567059932206,0.0152901781130963,0.9282317961023304,0.5577791747084938,0.5100000000000000,0.9213898240847114,0.3130327901143564,0.4975340230296235,0.8434261066891140,0.4716231227373296,0.8347652934203470,0.9300192660332209,0.9950680460592469,0.7782387793058275
56,0.7302795722584032,0.8063266079643293,0.0536675221227434,0.6365435033855380,0.3582200690178491,0.5203012716560329,0.9094425340897893,0.3333898996732128,0.4985952208324167,0.8270681894639891,0.4985952208324167,0.8270681894639891,0.9349528009637035,0.9971904416648334,0.7897316393277338
57,0.7829957740573890,0.5827985802141334,0.2281931939217610,0.9949227306534987,0.9087061695210354,0.5167789692616822,0.9230220109899232,0.3532376855692580,0.5034838385750285,0.8317190045120337,0.5034838385750285,0.8317190045120337,0.9352638879522183,0.9930323228499429,0.8004708731908609
58,0.5771025591012756,0.6134739409585048,0.3232739240151699,0.0332815698796508,0.3886321561789381,0.5205008848456255,0.9220822975130395,0.3497164950231566,0.5023359516861641,0.8299727732280200,0.5023359516861641,0.8299727732280201,0.9358436054446393,0.9953280966276719,0.7970464593508969
59,0.5649744352972672,0.6395516850990441,0.3547223757122526,0.8348396761435622,0.5091464809343752,0.5100000000000000,0.9007871022943506,0.3286004067929440,0.4984308457587616,0.8293304037870164,0.4984308457587617,0.8293304037870165,0.9356768485734055,0.9968616915175232,0.7929122150371309
60,0.8308334216594264,0.7969340835024183,0.2540452807899885,0.8570106695222617,0.1164993306287212,0.5100000000000000,0.9031978684438737,0.3373967849668844,0.5033300385398272,0.8299108681027920,0.5033300385398272,0.8299108681027920,0.9346669098328355,0.9933399229203457,0.7977632126286451
61,0.7361261789487036,0.7221125153976339,0.1612573009803574,0.9167003907619650,0.7374009455193812,0.5201813297529860,0.9144722778162490,0.3390741207390254,0.4993664325313925,0.8283171699500148,0.4993664325313925,0.8283171699500148,0.9367751189457989,0.9987328650627849,0.7922070446728317
62,0.7813133311109707,0.6273484043932029,0.0618058832624590,0.4781694576358491,0.7003029571437156,0.5216715346224640,0.8944796907176679,0.3207330152449929,0.5000772521842176,0.8227955001824141,0.5000772521842176,0.8227955001824141,0.9353011617115641,0.9998454956315648,0.7846977158982296
63,0.8771994515596923,0.9337484794293984,0.1605673357773916,0.7877559236206000,0.7942439928593290,0.5100000000000000,0.9625369611841817,0.3535737774600282,0.4624877859247953,0.8273778284517357,0.4752853259087353,0.8433091820935099,0.8859444185864541,0.9249755718495907,0.7948717276391355
64,0.8146647936002835,0.6894824833407472,0.1329660535631134,0.1950803991211798,0.3251913134277634,0.5100000000000000,0.9027664072065873,0.3318789974338740,0.4995005667669682,0.8297993220801456,0.4995005667669682,0.8297993220801457,0.9376445488188347,0.9990011335339366,0.7944791844835970
65,0.7757181123158380,0.7240952252303477,0.3480103523428551,0.6031302251782144,0.4360532190661919,0.5100000000000000,0.9287619609303699,0.3625597188516753,0.5052042653441348,0.8357608500414679,0.5052042653441348,0.8357608500414679,0.9349742839181385,0.9895914693117305,0.8075341846664241
66,0.7784194371577985,0.7066565167435174,0.1946877509642429,0.3586451523634614,0.1683417115271983,0.5100000000000000,0.9416375788985270,0.3609045664999996,0.4953698684770586,0.8385398033730360,0.4953698684770586,0.8385398033730361,0.9346732122617968,0.9907397369541171,0.8038513213130494
67,0.6558960470700539,0.5973326185328413,0.0904783599818115,0.5961736506619755,0.9645048760964994,0.5100000000000000,0.8984242445825891,0.3267676466798506,0.4987235112496635,0.8287640304013035,0.4987235112496635,0.8287640304013034,0.9359107920034346,0.9974470224993270,0.7923262541796855
68,0.5247925605926109,0.8611809674065120,0.1155204267263120,0.6755605071583003,0.0860773474078826,0.5100000000000000,0.9192879688075459,0.3518095453344717,0.5032594802933482,0.8336339244134977,0.5032594802933482,0.8336339244134977,0.9363420633186204,0.9934810394133036,0.8030177857643597
69,0.7196243468315340,0.7252599658890518,0.0545880658170756,0.3470686667461789,0.6490133036748073,0.5100000000000000,0.9313302105555337,0.3608772870989648,0.5022020181854119,0.8363059546936118,0.5022020181854120,0.8363059546936118,0.9387117280662614,0.9955959636291762,0.8059818450861267
70,0.6130006429533740,0.5178034127485048,0.3674341796276525,0.2162382993028720,0.7052573945651862,0.5194507546538608,0.8938460078859336,0.3204885977113495,0.4997651170043775,0.8235965519302944,0.4997651170043775,0.8235965519302944,0.9353547473891808,0.9995302340087551,0.7856119452768410
71,0.7060937489878254,0.9727265771327025,0.0201383384945874,0.3216879088593347,0.1577364736509796,0.5100000000000000,0.8978978075346539,0.3284738206767814,0.5003639728057768,0.8286361714660824,0.5003639728057768,0.8286361714660824,0.9375400204532212,0.9992720543884464,0.7934986079376962
72,0.9196334751687197,0.9015665335657985,0.0051384994223577,0.6639572451074426,0.3653232058304898,0.5100000000000000,0.9385390106125073,0.3601666327747085,0.4746830216225582,0.8561021934624466,0.4968520515145132,0.8378697142220042,0.9057697404199861,0.9493660432451163,0.8040450338280158
73,0.6222909532153635,0.8573084899640656,0.0731955734107475,0.6768742336728105,0.0431265667624833,0.5100000000000000,0.9498328824600865,0.3975281190274988,0.4905916803876534,0.8322456998648633,0.5190093900101058,0.8405288326446927,0.9340795997810797,0.9811833607753067,0.8241708241278837
74,0.5379853160107517,0.9271640978488939,0.3243496071642503,0.7413169360240989,0.5566082575866410,0.5100000000000000,0.8949471394654754,0.3239320438375916,0.4990688116778900,0.8279237399373088,0.4990688116778900,0.8279237399373088,0.9361114426268722,0.9981376233557799,0.7913836875927540
75,0.6450642681705584,0.9452674817306641,0.2093867146524325,0.1265366085727060,0.9949381428236241,0.5138157776937542,0.9104813318661208,0.3419574671855825,0.5026989255327052,0.8300311412976304,0.5026989255327051,0.8300311412976304,0.9354489252440912,0.9946021489345895,0.7974247366329288
76,0.6509250037280081,0.6719950590645306,0.2503373149507945,0.8185173902544616,0.4298849568221589,0.5100000000000000,0.9414263285799620,0.4000000000000000,0.4788436418989463,0.8284140177395291,0.5260739070698504,0.8390213844366258,0.9185273364803405,0.9576872837978927,0.8271541260727190
77,0.8277199270689096,0.8032601656400153,0.1430926701662939,0.6881478015409555,0.9900082203729365,0.5100000000000000,0.9557401314175982,0.3859661920522025,0.5061655670127541,0.8414905870119023,0.5061655670127541,0.8414905870119023,0.9362346735726731,0.9876688659744919,0.8162215579684295
78,0.7773754331238136,0.8022277484186852,0.0274711942196680,0.0305050766906392,0.1262254238089625,0.5574771886958586,0.9456332110086381,0.3569339617381146,0.4851192436696836,0.8055577822083285,0.5011464480849308,0.8203416809203005,0.9137662676490326,0.9702384873393672,0.7819977550382516
79,0.8862711403710785,0.6383038410290865,0.3424632649968673,0.3355978494350508,0.3924543432677957,0.5165121113896159,0.8822878562915427,0.3100552569844813,0.4996616975419689,0.8219381511146384,0.4996616975419689,0.8219381511146383,0.9344474043161546,0.9993233950839377,0.7830700925246608
80,0.8288704993571460,0.6165370806945922,0.0767577088501630,0.4667112559064771,0.9019649700484719,0.5100000000000000,0.9437335439331135,0.3641348155226945,0.4965411157177664,0.8389760638453133,0.4965411157177664,0.8389760638453132,0.9367766444920075,0.9930822314355328,0.8053969416237821
81,0.7050656934912338,0.5646754823131306,0.0132236802180459,0.3606174903868148,0.8766954816574721,0.5100000000000000,0.9076666981650015,0.3419180162504443,0.5036491066947970,0.8309643743438241,0.5036491066947971,0.8309643743438241,0.9347492549414969,0.9927017866104060,0.7995266810473755
82,0.9007297846396967,0.8264708140398973,0.2290816543732775,0.1174168882084131,0.3235915778697842,0.5348992406115940,0.9139241206752690,0.3299972215305368,0.5231193253946343,0.8086005203754442,0.4966603489467209,0.8220048887221520,0.9017979833877731,0.9537613492107313,0.7805501298008708
83,0.5901470015556979,0.8848411156947743,0.0333156881538404,0.2073462845050070,0.6786105837683316,0.5201280432513550,0.9246483972843963,0.3528841035077334,0.5029343293441211,0.8307207917598939,0.5029343293441211,0.8307207917598939,0.9354731128509929,0.9941313413117578,0.7986039131092083
84,0.5209017951042531,0.8752574301681618,0.0383047407439337,0.0245613949101325,0.8861601715577907,0.5100000000000000,0.9510631329286464,0.3781622979197503,0.5029191732368397,0.8405056074609754,0.5029191732368397,0.8405056074609754,0.9396460127441500,0.9941616535263207,0.8124428509190855
85,0.5532229731723081,0.6618121810487877,0.3201508125930101,0.0930771613525628,0.7668774661532277,0.5100000000000000,0.8949935952212055,0.3830981874049392,0.5163564878858242,0.8104831365849240,0.5420327728992821,0.8294656899553779,0.9249882318456697,0.9672870242283516,0.8262910496194119
86,0.8567324882862961,0.6085247282232971,0.1966438357271982,0.2663001177245448,0.6284761969329175,0.5162576923630826,0.9036544308489166,0.3310979403316675,0.4998873697890651,0.8273759772508524,0.4998873697890651,0.8273759772508524,0.9372220039390025,0.9997747395781302,0.7912656207810379
87,0.7317010705206659,0.7277348056582186,0.0966033808988572,0.8199702656357306,0.1525756145600226,0.5100000000000000,0.8996609766239170,0.3320585645654159,0.5017993777225005,0.8290619757053646,0.5017993777225005,0.8290619757053644,0.9360697417131865,0.9964012445549990,0.7952962350822910
88,0.5874104539361289,0.7724704609154451,0.1394505693438075,0.5266375099372003,0.0730026925705635,0.5100000000000000,0.9253701025488320,0.3546872663432959,0.5013830844132978,0.8349900667058927,0.5013830844132978,0.8349900667058927,0.9391050543787123,0.9972338311734044,0.8034712418577641
89,0.7505014920496145,0.9511618214249068,0.2916963915372686,0.4244978906911060,0.6146221798165610,0.5100000000000000,0.9115871129732698,0.3424838903257801,0.5013934021127315,0.8318661380215225,0.5013934021127315,0.8318661380215225,0.9377513070099346,0.9972131957745369,0.7990068998925295
